codec,corpus,direction,level,block,ratio,throughput_MBps,p50_us,p99_us,p999_us,cpu_frac,cores_freed
sw-zstd,ingress-6-517074b.bin,decompress,9,0,0.2232,1279.7,403.80,408.50,411.46,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,1,8192,0.1792,361.9,22.59,23.72,24.02,1.001,0.000
sw-zstd,egress-3-77366b.bin,decompress,1,8192,0.1792,735.8,11.10,11.88,12.49,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,1,16384,0.1587,477.3,34.27,35.31,36.59,1.001,0.000
sw-zstd,egress-3-77366b.bin,decompress,1,16384,0.1587,825.5,19.80,20.63,20.69,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,1,32768,0.1512,516.1,63.31,67.59,67.87,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,1,32768,0.1512,889.8,36.64,41.49,41.56,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,1,65536,0.2611,595.1,109.70,113.86,114.56,0.999,0.001
sw-zstd,egress-3-77366b.bin,decompress,1,65536,0.2611,964.2,67.93,69.14,71.86,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,1,131072,0.3169,661.2,116.37,123.59,125.29,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,1,131072,0.3169,970.1,79.80,80.72,80.76,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,1,0,0.3169,662.5,116.35,121.58,122.29,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,1,0,0.3169,969.0,79.83,81.20,81.20,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,3,8192,0.2037,327.2,24.97,28.08,28.11,1.001,0.000
sw-zstd,egress-3-77366b.bin,decompress,3,8192,0.2037,845.2,9.83,10.16,10.51,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,3,16384,0.2112,403.6,40.56,41.70,41.77,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,3,16384,0.2112,956.0,17.44,20.16,20.73,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,3,32768,0.2214,451.3,72.39,74.84,74.87,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,3,32768,0.2214,989.4,33.36,34.14,34.22,1.000,0.000
