codec,corpus,direction,level,block,ratio,throughput_MBps,p50_us,p99_us,p999_us,cpu_frac,cores_freed
sw-zstd,egress-2-12553b.bin,decompress,3,8192,0.2120,801.7,10.23,11.15,13.62,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,3,16384,0.3496,344.4,36.36,38.07,38.20,1.001,0.000
sw-zstd,egress-2-12553b.bin,decompress,3,16384,0.3496,889.6,14.10,15.20,15.28,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,3,32768,0.3496,346.1,36.20,37.43,37.49,1.001,0.000
sw-zstd,egress-2-12553b.bin,decompress,3,32768,0.3496,883.4,14.21,14.87,14.90,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,3,65536,0.3496,346.4,36.11,39.88,40.71,1.001,0.000
sw-zstd,egress-2-12553b.bin,decompress,3,65536,0.3496,886.6,14.07,18.51,18.91,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,3,131072,0.3496,346.0,36.13,41.29,41.55,1.001,0.000
sw-zstd,egress-2-12553b.bin,decompress,3,131072,0.3496,880.5,14.22,14.88,18.09,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,3,0,0.3496,346.4,36.20,37.29,37.51,1.001,0.000
sw-zstd,egress-2-12553b.bin,decompress,3,0,0.3496,879.7,14.24,15.12,18.04,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,6,8192,0.1637,127.1,64.31,66.61,66.73,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,6,8192,0.1637,1000.5,8.17,8.31,9.82,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,6,16384,0.3083,130.4,96.08,99.34,99.69,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,6,16384,0.3083,867.5,14.46,15.20,15.23,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,6,32768,0.3083,130.7,95.93,100.97,101.83,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,6,32768,0.3083,865.8,14.47,15.24,15.25,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,6,65536,0.3083,130.8,95.78,100.23,101.42,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,6,65536,0.3083,866.3,14.46,15.24,15.30,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,6,131072,0.3083,131.0,95.71,98.74,99.41,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,6,131072,0.3083,865.3,14.46,16.24,16.42,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,6,0,0.3083,130.9,95.67,101.69,102.11,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,6,0,0.3083,865.1,14.46,15.33,18.55,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,9,8192,0.1637,24.7,331.48,338.89,340.38,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,9,8192,0.1637,1002.4,8.16,8.26,9.00,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,9,16384,0.3083,31.5,398.02,406.55,407.80,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,9,16384,0.3083,866.0,14.48,15.22,15.25,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,9,32768,0.3083,31.5,398.12,406.48,408.99,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,9,32768,0.3083,865.4,14.45,14.61,19.30,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,9,65536,0.3083,31.5,397.88,407.87,418.43,0.999,0.001
sw-zstd,egress-2-12553b.bin,decompress,9,65536,0.3083,866.6,14.47,15.19,15.21,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,9,131072,0.3083,31.5,397.61,408.00,408.54,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,9,131072,0.3083,865.5,14.49,15.32,15.32,1.000,0.000
sw-zstd,egress-2-12553b.bin,compress,9,0,0.3083,31.6,397.13,405.50,405.56,1.000,0.000
sw-zstd,egress-2-12553b.bin,decompress,9,0,0.3083,867.8,14.45,15.28,15.40,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,1,8192,0.1497,427.0,19.11,21.88,23.09,1.001,0.000
sw-zstd,egress-7-423691b.bin,decompress,1,8192,0.1497,838.2,9.72,11.10,12.66,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,1,16384,0.1451,509.5,32.11,33.85,33.92,1.001,0.000
sw-zstd,egress-7-423691b.bin,decompress,1,16384,0.1451,888.2,18.41,19.18,19.97,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,1,32768,0.1400,524.3,62.40,64.47,64.52,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,1,32768,0.1400,1073.0,30.48,32.05,32.73,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,1,65536,0.1342,539.3,121.36,123.28,123.40,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,1,65536,0.1342,1098.7,59.45,63.79,66.07,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,1,131072,0.1309,537.9,243.45,246.52,247.83,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,1,131072,0.1309,1113.3,117.44,122.26,122.34,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,1,0,0.2324,712.2,594.27,602.49,605.16,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,1,0,0.2324,1328.4,318.50,323.84,323.88,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,3,8192,0.1649,404.1,20.20,21.71,24.69,1.001,0.000
sw-zstd,egress-7-423691b.bin,decompress,3,8192,0.1649,1004.3,8.21,8.48,8.51,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,3,16384,0.1920,446.4,36.61,37.76,40.82,1.001,0.000
sw-zstd,egress-7-423691b.bin,decompress,3,16384,0.1920,1016.3,16.23,16.69,17.05,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,3,32768,0.2122,455.4,71.84,74.14,74.44,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,3,32768,0.2122,1047.7,31.50,32.30,32.64,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,3,65536,0.2287,460.7,141.79,147.67,147.68,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,3,65536,0.2287,1111.7,59.74,61.92,62.27,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,3,131072,0.2403,446.5,293.17,301.56,301.62,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,3,131072,0.2403,1123.8,117.45,119.53,119.55,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,3,0,0.2681,525.8,804.48,823.22,823.85,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,3,0,0.2681,1317.2,322.09,327.61,327.81,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,6,8192,0.1096,151.0,54.12,56.60,56.98,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,6,8192,0.1096,1221.4,6.67,6.93,8.51,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,6,16384,0.1182,151.3,107.96,110.85,111.22,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,6,16384,0.1182,1120.1,14.60,15.34,15.39,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,6,32768,0.1239,181.6,178.99,191.54,192.18,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,6,32768,0.1239,1080.8,30.26,31.13,31.20,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,6,65536,0.1262,177.5,365.32,398.53,401.19,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,6,65536,0.1262,1101.4,59.17,64.43,64.50,0.998,0.002
sw-zstd,egress-7-423691b.bin,compress,6,131072,0.1274,173.7,747.54,819.34,828.58,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,6,131072,0.1274,1118.2,117.10,118.42,118.56,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,6,0,0.2307,194.9,2167.75,2241.03,2254.38,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,6,0,0.2307,1290.0,328.32,332.06,335.14,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,9,8192,0.1096,24.7,330.79,345.91,347.15,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,9,8192,0.1096,1230.8,6.64,6.72,6.80,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,9,16384,0.1182,21.7,753.83,768.71,770.76,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,9,16384,0.1182,1120.0,14.60,15.35,15.35,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,9,32768,0.1227,71.9,455.68,475.91,478.73,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,9,32768,0.1227,1080.6,30.28,31.09,31.22,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,9,65536,0.1248,69.9,936.48,982.97,1007.38,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,9,65536,0.1248,1103.6,59.25,63.49,63.57,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,9,131072,0.1258,68.9,1901.84,1966.86,1981.88,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,9,131072,0.1258,1116.8,117.23,119.27,119.46,1.000,0.000
sw-zstd,egress-7-423691b.bin,compress,9,0,0.2301,135.3,3129.38,3195.70,3234.92,1.000,0.000
sw-zstd,egress-7-423691b.bin,decompress,9,0,0.2301,1290.2,328.08,333.12,334.07,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,1,8192,0.1677,380.6,21.47,23.60,23.71,1.001,0.000
sw-zstd,egress-5-206881b.bin,decompress,1,8192,0.1677,770.3,10.59,12.19,12.46,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,1,16384,0.1537,478.8,33.93,35.79,38.05,0.994,0.006
sw-zstd,egress-5-206881b.bin,decompress,1,16384,0.1537,847.9,19.28,20.06,20.06,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,1,32768,0.1441,495.3,66.02,69.28,71.02,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,1,32768,0.1441,1046.1,31.28,32.31,32.71,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,1,65536,0.1375,513.9,127.34,129.82,129.97,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,1,65536,0.1375,1085.3,60.33,61.68,62.62,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,1,131072,0.1732,547.0,239.29,244.62,244.98,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,1,131072,0.1732,977.3,133.79,139.44,139.63,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,1,0,0.2703,659.2,313.29,319.31,319.89,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,1,0,0.2703,1195.8,172.55,176.86,180.16,0.999,0.001
sw-zstd,egress-5-206881b.bin,compress,3,8192,0.1957,365.6,22.37,23.28,23.51,1.001,0.000
sw-zstd,egress-5-206881b.bin,decompress,3,8192,0.1957,914.1,9.01,10.10,12.52,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,3,16384,0.2070,408.9,39.99,40.94,41.70,1.001,0.000
sw-zstd,egress-5-206881b.bin,decompress,3,16384,0.2070,985.5,16.89,18.62,18.64,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,3,32768,0.2201,439.9,74.23,78.89,78.98,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,3,32768,0.2201,1022.1,32.28,34.64,36.04,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,3,65536,0.2336,453.1,144.22,148.78,149.16,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,3,65536,0.2336,1095.0,60.50,61.48,61.72,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,3,131072,0.2214,466.8,279.73,291.82,293.61,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,3,131072,0.2214,1041.9,126.22,127.78,127.79,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,3,0,0.2606,491.0,421.26,428.56,433.59,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,3,0,0.2606,1159.8,179.09,183.17,183.19,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,6,8192,0.1260,134.3,60.84,63.20,63.32,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,6,8192,0.1260,1083.3,7.56,7.64,7.67,1.001,0.000
sw-zstd,egress-5-206881b.bin,compress,6,16384,0.1263,142.6,114.60,118.12,118.56,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,6,16384,0.1263,1056.7,15.48,17.28,17.29,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,6,32768,0.1281,176.1,184.32,198.80,199.60,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,6,32768,0.1281,1052.2,31.06,32.91,33.10,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,6,65536,0.1301,175.1,370.85,403.21,405.03,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,6,65536,0.1301,1090.4,60.04,61.03,61.15,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,6,131072,0.1735,170.1,768.04,813.05,814.40,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,6,131072,0.1735,981.8,133.23,135.00,144.76,0.999,0.001
sw-zstd,egress-5-206881b.bin,compress,6,0,0.2676,195.4,1056.10,1096.58,1098.10,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,6,0,0.2676,1166.8,177.24,179.21,179.23,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,9,8192,0.1260,21.1,386.87,396.01,396.06,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,9,8192,0.1260,1079.9,7.57,7.65,9.46,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,9,16384,0.1263,20.2,811.93,824.80,826.73,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,9,16384,0.1263,1057.9,15.48,16.20,16.30,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,9,32768,0.1267,69.5,470.84,487.78,490.96,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,9,32768,0.1267,1052.4,31.11,31.96,32.08,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,9,65536,0.1283,69.1,943.97,992.90,1032.01,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,9,65536,0.1283,1089.6,60.12,60.91,60.94,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,9,131072,0.1719,68.3,1919.14,1966.40,2042.07,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,9,131072,0.1719,982.4,133.26,135.86,136.16,1.000,0.000
sw-zstd,egress-5-206881b.bin,compress,9,0,0.2376,81.8,2529.96,2569.38,2573.08,1.000,0.000
sw-zstd,egress-5-206881b.bin,decompress,9,0,0.2376,1104.1,187.53,189.29,189.69,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,1,8192,0.1282,360.9,22.66,24.43,24.71,1.001,0.000
sw-zstd,egress-4-93392b.bin,decompress,1,8192,0.1282,1025.1,7.96,8.84,9.78,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,1,16384,0.1275,531.5,30.75,31.65,33.30,1.001,0.000
sw-zstd,egress-4-93392b.bin,decompress,1,16384,0.1275,1027.4,15.91,16.72,17.92,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,1,32768,0.1389,480.2,68.11,71.22,72.46,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,1,32768,0.1389,1027.5,31.58,32.66,35.70,0.993,0.007
sw-zstd,egress-4-93392b.bin,compress,1,65536,0.1707,566.1,115.52,119.64,120.02,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,1,65536,0.1707,917.3,71.36,73.24,73.26,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,1,131072,0.3190,670.9,138.84,144.96,145.10,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,1,131072,0.3190,1007.5,92.63,93.57,93.64,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,1,0,0.3190,669.3,138.84,146.32,146.67,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,1,0,0.3190,1007.3,92.65,93.57,93.62,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,3,8192,0.1282,359.2,22.75,24.40,27.20,1.001,0.000
sw-zstd,egress-4-93392b.bin,decompress,3,8192,0.1282,1025.4,7.97,8.29,9.29,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,3,16384,0.1275,520.8,31.41,33.43,33.55,1.001,0.000
sw-zstd,egress-4-93392b.bin,decompress,3,16384,0.1275,1029.0,15.90,16.89,16.90,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,3,32768,0.1389,470.1,69.42,72.01,72.08,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,3,32768,0.1389,1037.3,31.56,32.34,32.39,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,3,65536,0.1710,530.5,122.99,129.91,131.03,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,3,65536,0.1710,917.2,71.36,73.25,73.42,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,3,131072,0.3256,366.7,254.35,260.62,261.05,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,3,131072,0.3256,993.5,93.97,95.04,95.25,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,3,0,0.3256,365.9,254.68,263.01,263.47,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,3,0,0.3256,993.0,93.98,96.06,96.08,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,6,8192,0.1278,126.8,64.48,65.84,67.83,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,6,8192,0.1278,1021.3,7.99,8.07,8.77,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,6,16384,0.1272,138.8,117.66,121.75,121.88,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,6,16384,0.1272,1026.4,15.89,17.97,19.57,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,6,32768,0.1389,169.3,191.94,205.40,233.16,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,6,32768,0.1389,1033.0,31.56,35.88,36.94,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,6,65536,0.1779,180.9,360.32,381.86,383.43,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,6,65536,0.1779,993.7,65.89,67.80,67.81,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,6,131072,0.2733,153.9,605.52,628.68,631.70,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,6,131072,0.2733,981.9,95.40,96.23,96.52,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,6,0,0.2733,154.3,603.74,625.39,626.91,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,6,0,0.2733,981.4,95.35,96.75,96.86,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,9,8192,0.1278,22.8,360.07,365.23,365.88,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,9,8192,0.1278,1018.2,8.00,8.83,12.23,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,9,16384,0.1272,21.9,747.78,762.05,769.22,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,9,16384,0.1272,1030.3,15.89,16.69,16.98,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,9,32768,0.1389,68.0,482.26,501.23,502.17,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,9,32768,0.1389,1037.4,31.57,32.43,32.57,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,9,65536,0.1778,77.6,846.82,865.18,866.19,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,9,65536,0.1778,994.5,65.85,66.83,68.89,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,9,131072,0.2720,79.4,1176.76,1197.50,1199.10,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,9,131072,0.2720,988.9,94.50,98.36,99.25,1.000,0.000
sw-zstd,egress-4-93392b.bin,compress,9,0,0.2720,79.5,1176.45,1193.19,1194.88,1.000,0.000
sw-zstd,egress-4-93392b.bin,decompress,9,0,0.2720,989.2,94.67,95.69,95.79,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,1,8192,0.4019,200.2,6.45,6.73,7.38,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,1,8192,0.4019,352.8,3.66,3.78,3.79,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,1,16384,0.4019,200.9,6.44,6.72,6.76,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,1,16384,0.4019,353.4,3.66,3.77,3.78,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,1,32768,0.4019,199.8,6.46,6.74,6.75,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,1,32768,0.4019,353.0,3.66,3.84,3.87,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,1,65536,0.4019,199.9,6.45,6.78,8.40,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,1,65536,0.4019,351.7,3.66,3.89,3.90,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,1,131072,0.4019,200.7,6.44,6.68,6.68,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,1,131072,0.4019,352.3,3.66,3.76,3.77,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,1,0,0.4019,200.0,6.44,6.95,7.72,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,1,0,0.4019,353.8,3.65,3.81,3.85,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,3,8192,0.4227,189.1,6.79,7.84,11.28,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,3,8192,0.4227,356.3,3.60,3.91,4.54,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,3,16384,0.4227,190.3,6.77,7.63,7.64,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,3,16384,0.4227,355.9,3.60,4.12,4.45,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,3,32768,0.4227,190.0,6.77,7.53,7.63,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,3,32768,0.4227,358.9,3.59,3.79,3.95,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,3,65536,0.4227,189.7,6.76,9.01,10.65,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,3,65536,0.4227,358.2,3.60,3.81,3.81,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,3,131072,0.4227,190.5,6.79,7.08,7.09,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,3,131072,0.4227,357.1,3.60,3.81,3.83,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,3,0,0.4227,190.4,6.78,7.11,7.20,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,3,0,0.4227,357.9,3.60,3.90,3.97,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,6,8192,0.3980,95.7,13.42,14.40,14.77,0.996,0.004
sw-zstd,egress-0-1294b.bin,decompress,6,8192,0.3980,381.7,3.38,3.65,3.70,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,6,16384,0.3980,96.4,13.38,14.17,14.25,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,6,16384,0.3980,382.5,3.38,3.57,3.59,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,6,32768,0.3980,96.3,13.38,14.20,17.81,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,6,32768,0.3980,382.2,3.39,3.48,3.52,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,6,65536,0.3980,96.5,13.39,14.18,14.18,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,6,65536,0.3980,381.6,3.38,3.68,3.77,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,6,131072,0.3980,96.4,13.39,14.13,14.28,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,6,131072,0.3980,379.4,3.39,3.57,3.60,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,6,0,0.3980,96.5,13.37,14.30,14.35,1.001,0.000
sw-zstd,egress-0-1294b.bin,decompress,6,0,0.3980,382.3,3.38,3.50,3.58,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,9,8192,0.3980,35.4,36.43,38.63,40.73,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,9,8192,0.3980,382.0,3.38,3.58,3.66,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,9,16384,0.3980,35.5,36.41,37.63,37.63,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,9,16384,0.3980,382.5,3.37,3.59,3.61,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,9,32768,0.3980,35.5,36.39,38.41,38.51,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,9,32768,0.3980,381.2,3.39,3.59,3.62,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,9,65536,0.3980,35.5,36.36,37.60,37.62,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,9,65536,0.3980,382.1,3.38,3.55,3.58,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,9,131072,0.3980,35.5,36.37,40.73,41.02,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,9,131072,0.3980,382.9,3.38,3.49,3.52,1.000,0.000
sw-zstd,egress-0-1294b.bin,compress,9,0,0.3980,35.5,36.34,38.56,38.57,1.000,0.000
sw-zstd,egress-0-1294b.bin,decompress,9,0,0.3980,382.8,3.38,3.61,3.63,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,1,8192,0.0170,877.6,9.31,9.55,11.21,1.001,0.000
sw-deflate,ingress-6-517074b.bin,decompress,1,8192,0.0170,704.2,11.56,13.15,16.00,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,1,16384,0.0095,1124.6,14.56,15.43,15.46,1.001,0.000
sw-deflate,ingress-6-517074b.bin,decompress,1,16384,0.0095,759.0,21.55,22.32,22.37,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,1,32768,0.0942,805.7,40.46,45.30,45.51,1.000,0.000
sw-deflate,ingress-6-517074b.bin,decompress,1,32768,0.0942,1829.9,17.69,19.37,23.41,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,1,65536,0.1448,655.8,99.92,101.12,101.19,1.000,0.000
sw-deflate,ingress-6-517074b.bin,decompress,1,65536,0.1448,1295.7,52.40,53.46,53.50,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,1,131072,0.1673,574.2,228.10,233.55,233.59,1.000,0.000
sw-deflate,ingress-6-517074b.bin,decompress,1,131072,0.1673,1163.2,112.75,121.73,121.76,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,1,0,0.2631,378.6,1364.78,1381.91,1382.06,1.000,0.000
sw-deflate,ingress-6-517074b.bin,decompress,1,0,0.2631,1072.7,480.62,496.11,498.30,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,3,8192,0.0170,601.3,13.57,15.41,15.73,1.001,0.000
sw-deflate,ingress-6-517074b.bin,decompress,3,8192,0.0170,703.9,11.61,12.41,12.56,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,3,16384,0.0095,765.2,21.40,22.27,22.38,1.000,0.000
sw-deflate,ingress-6-517074b.bin,decompress,3,16384,0.0095,758.7,21.57,22.27,22.29,1.000,0.000
sw-deflate,ingress-6-517074b.bin,compress,3,32768,0.0809,468.7,69.66,74.12,76.34,0.999,0.001
sw-deflate,ingress-6-517074b.bin,decompress,3,32768,0.0809,1655.4,19.24,20.95,21.00,1.000,0.000
